mono_IPC,year,IPC_count
F,1980,0
F,1981,0
F,1982,55
F,1983,71
F,1984,0
F,1985,121
F,1986,144
F,1987,153
F,1988,174
F,1989,202
F,1990,273
F,1991,134
F,1992,214
F,1993,94
F,1994,112
F,1995,177
F,1996,472
F,1997,1080
F,1998,1115
F,1999,620
F,2000,384
F,2001,291
F,2002,300
F,2003,322
F,2004,323
F,2005,74
F,2006,40
F,2007,65
F,2008,73
F,2009,76
F,2010,88
F,2011,96
F,2012,87
F,2013,116
F,2014,121
F,2015,93
F,2016,68
F,2017,51
F,2018,26
F,2019,206
F,2020,5
E,1980,0
E,1981,0
E,1982,18
E,1983,38
E,1984,0
E,1985,54
E,1986,44
E,1987,53
E,1988,90
E,1989,102
E,1990,110
E,1991,76
E,1992,73
E,1993,75
E,1994,65
E,1995,96
E,1996,201
E,1997,427
E,1998,469
E,1999,317
E,2000,205
E,2001,166
E,2002,178
E,2003,148
E,2004,181
E,2005,53
E,2006,27
E,2007,85
E,2008,56
E,2009,63
E,2010,69
E,2011,90
E,2012,95
E,2013,113
E,2014,106
E,2015,74
E,2016,76
E,2017,49
E,2018,18
E,2019,83
E,2020,1
B,1980,0
B,1981,0
B,1982,112
B,1983,143
B,1984,0
B,1985,209
B,1986,282
B,1987,285
B,1988,394
B,1989,462
B,1990,505
B,1991,301
B,1992,443
B,1993,243
B,1994,242
B,1995,310
B,1996,932
B,1997,2377
B,1998,2299
B,1999,1187
B,2000,786
B,2001,615
B,2002,620
B,2003,720
B,2004,656
B,2005,184
B,2006,107
B,2007,200
B,2008,162
B,2009,200
B,2010,199
B,2011,205
B,2012,215
B,2013,230
B,2014,244
B,2015,173
B,2016,177
B,2017,100
B,2018,59
B,2019,396
B,2020,13
D,1980,0
D,1981,0
D,1982,13
D,1983,22
D,1984,0
D,1985,19
D,1986,32
D,1987,31
D,1988,45
D,1989,36
D,1990,72
D,1991,28
D,1992,47
D,1993,47
D,1994,44
D,1995,47
D,1996,141
D,1997,299
D,1998,280
D,1999,137
D,2000,101
D,2001,60
D,2002,57
D,2003,45
D,2004,57
D,2005,28
D,2006,9
D,2007,32
D,2008,16
D,2009,41
D,2010,38
D,2011,34
D,2012,25
D,2013,27
D,2014,25
D,2015,11
D,2016,15
D,2017,7
D,2018,6
D,2019,32
D,2020,2
C,1980,1
C,1981,0
C,1982,55
C,1983,85
C,1984,0
C,1985,115
C,1986,219
C,1987,221
C,1988,264
C,1989,331
C,1990,410
C,1991,244
C,1992,460
C,1993,228
C,1994,310
C,1995,361
C,1996,1219
C,1997,2728
C,1998,2672
C,1999,1528
C,2000,1293
C,2001,995
C,2002,913
C,2003,1040
C,2004,1133
C,2005,394
C,2006,438
C,2007,496
C,2008,472
C,2009,558
C,2010,539
C,2011,488
C,2012,474
C,2013,399
C,2014,475
C,2015,351
C,2016,292
C,2017,279
C,2018,96
C,2019,329
C,2020,12
A,1980,0
A,1981,1
A,1982,85
A,1983,96
A,1984,0
A,1985,109
A,1986,218
A,1987,208
A,1988,250
A,1989,337
A,1990,330
A,1991,212
A,1992,368
A,1993,210
A,1994,221
A,1995,332
A,1996,1062
A,1997,2314
A,1998,2300
A,1999,1259
A,2000,1069
A,2001,1011
A,2002,928
A,2003,1169
A,2004,1114
A,2005,500
A,2006,515
A,2007,581
A,2008,531
A,2009,601
A,2010,558
A,2011,539
A,2012,505
A,2013,415
A,2014,497
A,2015,361
A,2016,307
A,2017,254
A,2018,107
A,2019,405
A,2020,8
G,1980,0
G,1981,0
G,1982,78
G,1983,96
G,1984,0
G,1985,159
G,1986,208
G,1987,239
G,1988,309
G,1989,354
G,1990,385
G,1991,183
G,1992,254
G,1993,96
G,1994,64
G,1995,138
G,1996,599
G,1997,1664
G,1998,1889
G,1999,901
G,2000,452
G,2001,492
G,2002,518
G,2003,477
G,2004,464
G,2005,100
G,2006,45
G,2007,84
G,2008,45
G,2009,67
G,2010,86
G,2011,80
G,2012,70
G,2013,81
G,2014,95
G,2015,65
G,2016,69
G,2017,61
G,2018,24
G,2019,298
G,2020,18
H,1980,0
H,1981,0
H,1982,48
H,1983,75
H,1984,1
H,1985,107
H,1986,128
H,1987,145
H,1988,157
H,1989,239
H,1990,230
H,1991,127
H,1992,186
H,1993,65
H,1994,84
H,1995,108
H,1996,483
H,1997,1637
H,1998,1950
H,1999,1025
H,2000,445
H,2001,337
H,2002,298
H,2003,285
H,2004,287
H,2005,95
H,2006,34
H,2007,64
H,2008,57
H,2009,45
H,2010,37
H,2011,45
H,2012,60
H,2013,60
H,2014,66
H,2015,44
H,2016,40
H,2017,40
H,2018,12
H,2019,358
H,2020,40
